"Symbol","Change %","Last","RPR","TPR","V50d (K)","v/50","% Off 52-wk High","Volume (K)","VRR","Change $","RPR Change"
"EFXT","-3.57%","$22.40","98","A","436","260.70%","-4.56%","1,573","","$-0.83","0"
"EGO","1.95%","$46.42","98","A","2,456","-26.11%","-9.27%","1,815","","$0.89","1"
"EKSO","1.20%","$10.14","98","B","2,569","-97.88%","-23.59%","55","","$0.12","0"
"ELVR","2.29%","$59.43","98","A","84","-8.20%","-15.09%","77","","$1.33","0"
"EQX","1.96%","$18.76","98","A","10,304","-26.53%","-1.05%","7,571","","$0.36","0"
"FEIM","-1.26%","$50.21","98","A","214","-46.42%","-18.32%","114","","$-0.64","0"
"FIGS","23.90%","$15.45","98","A","3,065","750.49%","-2.83%","26,068","","$2.98","2"
"FIX","-0.62%","$1,429.37","98","A","574","-14.73%","-4.71%","490","","$-8.86","0"
"FRGE","0.42%","$45.00","98","A","221","185.65%","-0.07%","632","","$0.19","0"
"FSLY","6.46%","$19.12","98","A","9,077","12.69%","-5.67%","10,230","","$1.16","1"
"GLW","0.05%","$150.38","98","A","9,022","61.32%","-7.23%","14,554","","$0.08","0"
"GOLD","1.93%","$57.47","98","A","869","-8.19%","-13.84%","798","","$1.09","0"
"HUT","-2.90%","$53.23","98","B","6,045","-21.40%","-19.43%","4,752","","$-1.59","0"
"IDR","-0.23%","$43.07","98","A","564","-22.43%","-21.26%","437","","$-0.10","0"
"KLRS","-0.95%","$10.46","98","A","102","-73.38%","-18.91%","27","","$-0.10","0"
"KYMR","-3.87%","$91.35","98","A","800","55.01%","-11.31%","1,240","","$-3.68","0"
"LRCX","-2.17%","$233.89","98","A","12,061","7.61%","-8.88%","12,979","","$-5.18","0"
"MKSI","-0.09%","$244.46","98","A","1,460","27.45%","-9.43%","1,860","","$-0.22","0"
"NEXA","13.56%","$13.65","98","A","809","61.48%","-8.63%","1,307","","$1.63","0"
"NGL","-0.25%","$12.00","98","A","385","-11.91%","-7.69%","339","","$-0.03","0"
"OIS","-0.46%","$13.09","98","A","1,063","59.64%","-9.72%","1,697","","$-0.06","0"
"ORKA","0.26%","$34.41","98","A","539","-23.53%","-5.80%","412","","$0.09","0"
"PAAS","1.76%","$68.70","98","A","8,282","-25.67%","-1.84%","6,156","","$1.19","0"
"PACS","-12.38%","$36.51","98","A","1,107","186.66%","-15.25%","3,175","","$-5.16","-1"
"POWL","-1.37%","$523.60","98","B","263","-26.45%","-14.51%","194","","$-7.28","0"
"PPTA","3.34%","$36.86","98","A","1,969","19.89%","-0.08%","2,360","","$1.19","0"
"RLAY","12.01%","$10.26","98","A","2,330","252.52%","-10.24%","8,213","","$1.10","1"
"SIFY","-2.37%","$15.67","98","A","84","-43.13%","-12.21%","48","","$-0.38","0"
"SLSR","3.93%","$10.83","98","A","169","71.92%","-5.25%","290","","$0.41","1"
"SPHR","2.31%","$119.01","98","A","762","5.64%","-1.05%","805","","$2.69","0"
"SRZN","7.96%","$27.80","98","A","107","-56.19%","-0.57%","47","","$2.05","0"
"SYRE","-0.32%","$43.01","98","A","724","-4.00%","-6.01%","695","","$-0.14","0"
"VIAV","-0.64%","$29.71","98","A","4,447","56.76%","-5.44%","6,970","","$-0.19","0"
"VSCO","-4.64%","$62.70","98","A","1,841","26.00%","-6.26%","2,320","","$-3.05","0"
"AAUC","0.73%","$31.64","97","A","951","-57.57%","-1.37%","403","","$0.23","0"
"AGCC","-0.52%","$13.33","97","A","131","-93.66%","-13.83%","8","","$-0.07","0"
"AGX","-0.28%","$451.25","97","A","355","-19.67%","-1.85%","285","","$-1.28","0"
"ALB","-3.39%","$178.67","97","A","3,146","-23.54%","-13.27%","2,406","","$-6.26","-1"
"AMAT","-0.91%","$372.30","97","A","7,827","15.42%","-5.97%","9,034","","$-3.42","0"
"AMKR","-1.44%","$47.82","97","B","4,489","-4.43%","-16.24%","4,290","","$-0.70","0"
"ATI","0.02%","$163.59","97","A","1,828","15.24%","-0.41%","2,107","","$0.04","0"
"B","0.77%","$50.74","97","A","15,158","-2.31%","-7.22%","14,809","","$0.39","0"
"BKD","0.86%","$15.30","97","B","5,102","4.92%","-10.47%","5,353","","$0.13","0"
"CAMT","-0.61%","$167.39","97","A","526","-30.44%","-4.13%","366","","$-1.02","0"
"CNL","2.67%","$20.76","97","A","60","32.93%","-2.26%","80","","$0.54","0"
"CYD","8.55%","$50.28","97","B","189","229.40%","-11.09%","622","","$3.96","1"
"DNTH","3.92%","$55.19","97","A","784","6.54%","-4.02%","835","","$2.08","0"
"ECO","1.60%","$54.05","97","A","409","84.35%","0.00%","755","","$0.85","0"
"ERO","-0.70%","$34.18","97","A","1,908","-28.56%","-14.12%","1,363","","$-0.24","0"
"FRO","1.80%","$37.95","97","A","3,188","116.71%","-0.05%","6,909","","$0.67","1"
"FSM","0.29%","$13.66","97","A","8,270","-34.02%","-1.30%","5,456","","$0.04","0"
"FTAI","-1.37%","$305.80","97","A","1,713","341.41%","-5.47%","7,562","","$-4.24","-1"
"GFI","0.55%","$58.84","97","A","3,177","-21.23%","-4.54%","2,502","","$0.32","0"
"GPRE","-3.31%","$13.73","97","A","1,403","7.87%","-12.21%","1,514","","$-0.47","0"
"GSAT","7.58%","$62.27","97","A","676","78.88%","-16.84%","1,210","","$4.39","0"
"HLF","1.24%","$19.52","97","A","1,770","-15.26%","-4.31%","1,500","","$0.24","0"
"HSHP","1.59%","$14.71","97","A","320","-0.07%","-1.61%","319","","$0.23","0"
"IE","2.93%","$17.19","97","A","1,893","5.05%","-20.23%","1,989","","$0.49","0"
"INDV","-2.94%","$32.72","97","B","2,260","51.71%","-13.89%","3,428","","$-0.99","0"
"KGC","0.63%","$36.99","97","A","11,001","-1.48%","-5.42%","10,838","","$0.23","0"
"LBRT","0.61%","$28.09","97","A","4,416","-23.19%","-1.95%","3,392","","$0.17","0"
"MAMA","0.65%","$17.14","97","A","478","67.79%","-3.98%","802","","$0.11","0"
"MOD","-0.72%","$227.25","97","A","1,460","-34.87%","-6.79%","951","","$-1.65","0"
"MRNA","3.60%","$53.57","97","A","12,043","-24.83%","-2.95%","9,053","","$1.86","0"
"NAT","6.11%","$5.73","97","A","3,299","122.46%","-0.87%","7,339","","$0.33","2"
"NBR","0.41%","$78.12","97","A","383","18.80%","-2.74%","455","","$0.32","0"
"NEM","1.98%","$130.00","97","A","9,674","58.11%","-3.62%","15,296","","$2.53","0"
"ORLA","4.34%","$21.62","97","A","2,671","-33.97%","-0.55%","1,764","","$0.90","0"
"RFIL","1.11%","$11.35","97","A","210","-24.10%","-7.27%","159","","$0.13","0"
"ROIV","1.58%","$28.94","97","A","6,836","-36.90%","-0.89%","4,313","","$0.45","0"
"RVMD","-0.13%","$102.02","97","A","3,697","178.86%","-18.05%","10,308","","$-0.13","-1"
"SCCO","1.21%","$218.30","97","A","2,049","0.45%","-2.50%","2,059","","$2.60","0"
"SSRM","0.16%","$32.19","97","A","3,835","-26.41%","-1.26%","2,822","","$0.05","-1"
"STRL","-1.20%","$428.13","97","A","531","21.03%","-10.25%","643","","$-5.21","0"
"STRO","0.00%","$20.47","97","A","124","-23.92%","-2.20%","95","","$0.00","-1"
"TCMD","-2.07%","$29.29","97","A","370","-20.98%","-22.45%","293","","$-0.62","0"
"TSEM","0.83%","$124.87","97","B","1,842","-3.40%","-16.51%","1,780","","$1.03","0"
"VAL","1.37%","$95.85","97","A","1,742","-26.58%","-6.21%","1,279","","$1.30","0"
"VRT","-1.67%","$254.89","97","A","5,912","17.86%","-3.76%","6,968","","$-4.34","0"
"WBD","-2.19%","$28.17","97","A","30,464","125.71%","-6.10%","68,762","","$-0.63","0"
"AA","-2.19%","$62.08","96","A","7,496","-46.75%","-7.27%","3,992","","$-1.39","0"
"AEM","2.11%","$251.60","96","A","2,764","-9.18%","-0.47%","2,511","","$5.20","0"
"AGI","3.32%","$54.19","96","A","3,792","8.33%","-0.33%","4,108","","$1.74","0"
"ASML","-0.90%","$1,450.56","96","A","1,747","-22.37%","-6.25%","1,356","","$-13.24","1"
"AXGN","-0.53%","$31.73","96","C","956","-6.03%","-11.86%","899","","$-0.17","1"
"AXIA","-1.63%","$12.08","96","A","2,080","21.31%","-1.87%","2,523","","$-0.20","0"
"BDSX","7.81%","$15.33","96","A","1,752","-78.43%","-19.86%","378","","$1.11","2"
"BKTI","-2.69%","$87.09","96","A","39","-9.06%","-2.69%","36","","$-2.41","1"
"BWAY","-1.13%","$23.14","96","B","102","-67.35%","-13.11%","33","","$-0.27","0"
"CAMP","0.00%","$4.49","96","D","148","-82.72%","-38.58%","26","","$0.00","1"
"CCJ","0.19%","$118.40","96","A","4,137","-48.87%","-12.45%","2,115","","$0.22","0"
"CGON","4.79%","$58.80","96","A","1,127","-5.71%","-2.00%","1,063","","$2.69","0"
"CSTM","-4.08%","$24.89","96","A","1,781","57.18%","-8.66%","2,799","","$-1.06","0"
"CTGO","4.01%","$30.07","96","A","255","2.03%","-12.54%","261","","$1.16","1"
"DAN","-1.83%","$34.24","96","A","1,797","17.27%","-5.62%","2,107","","$-0.64","0"
"DSGN","-2.25%","$10.44","96","A","355","-67.38%","-6.28%","116","","$-0.24","0"
"ECG","-1.06%","$120.87","96","A","693","0.66%","-12.18%","698","","$-1.29","0"
"ELE","2.21%","$23.63","96","A","276","-44.89%","-12.35%","152","","$0.51","0"
"ENGN","0.80%","$10.11","96","A","325","-82.00%","-17.47%","58","","$0.08","0"
"ESLT","0.49%","$769.04","96","A","135","-22.59%","-0.90%","105","","$3.75","0"
"EYPT","-1.68%","$17.56","96","A","1,375","98.58%","-8.11%","2,731","","$-0.30","0"
"FN","-2.99%","$545.63","96","A","690","25.75%","-13.80%","868","","$-16.81","0"
"FTI","-1.46%","$66.31","96","A","3,714","27.81%","-1.84%","4,747","","$-0.98","0"
"GCT","-5.62%","$44.34","96","A","570","249.98%","-7.62%","1,996","","$-2.64","0"
"GEV","-0.33%","$873.60","96","A","2,964","-17.15%","-2.38%","2,456","","$-2.86","0"
"GHM","-1.30%","$81.22","96","A","114","-24.59%","-11.63%","86","","$-1.07","0"
"GILT","-0.19%","$15.90","96","B","929","-21.18%","-21.98%","732","","$-0.03","0"
"HII","0.34%","$444.52","96","A","597","-31.15%","-1.62%","411","","$1.52","0"
"HOOZ","9.51%","$37.93","96","A","285","-67.25%","-22.94%","93","","$3.29","5"
"INSW","4.16%","$75.53","96","A","541","118.39%","-0.15%","1,181","","$3.02","1"
"IONS","0.68%","$81.15","96","B","2,137","30.13%","-6.44%","2,781","","$0.55","0"
"IPGP","1.62%","$131.57","96","A","530","4.90%","-15.56%","556","","$2.10","0"
"KEYS","0.42%","$307.33","96","A","1,342","123.37%","-1.44%","2,998","","$1.30","0"
"KLIC","-1.43%","$69.72","96","A","750","-12.33%","-10.04%","657","","$-1.01","0"
"KSLV","5.37%","$45.31","96","A","165","-40.09%","-24.45%","99","","$2.31","1"
"LINC","4.98%","$36.24","96","A","381","177.67%","-0.74%","1,059","","$1.72","1"
"LYEL","4.30%","$24.00","96","D","116","-25.99%","-46.67%","86","","$0.99","1"
"MT","-1.08%","$65.16","96","A","1,648","23.08%","-3.61%","2,028","","$-0.71","-1"
"MTSI","0.41%","$248.12","96","A","1,338","-3.97%","-3.12%","1,285","","$1.01","0"
"NVRI","1.83%","$18.93","96","B","1,414","-1.23%","-2.82%","1,396","","$0.34","1"
"NXE","0.16%","$12.78","96","A","8,733","-28.80%","-8.45%","6,218","","$0.02","0"
"ONTO","-0.91%","$215.89","96","A","912","49.64%","-7.14%","1,365","","$-1.99","0"
"OR","0.81%","$47.39","96","A","1,490","-29.51%","-1.39%","1,051","","$0.38","1"
"PARK","-2.83%","$18.86","96","A","50","-65.22%","-12.69%","17","","$-0.55","0"
"PLAB","-3.18%","$37.43","96","A","1,236","-10.72%","-17.56%","1,104","","$-1.23","0"
"RLYB","10.88%","$7.54","96","A","38","176.68%","-3.08%","104","","$0.74","3"
"SGML","-11.16%","$14.41","96","A","4,616","-20.25%","-14.63%","3,681","","$-1.81","-1"
"SHIP","1.77%","$14.35","96","A","213","54.97%","-0.49%","330","","$0.25","1"
"SIMO","-1.41%","$129.23","96","A","674","-19.15%","-12.00%","545","","$-1.85","0"
"SITM","0.01%","$397.88","96","A","317","28.27%","-10.98%","406","","$0.02","0"
"SMTC","-0.30%","$90.22","96","A","1,392","42.17%","-3.98%","1,980","","$-0.27","0"
"TEN","2.53%","$35.30","96","A","338","88.96%","-0.90%","639","","$0.87","1"
"TIGO","3.13%","$72.89","96","A","1,226","135.39%","-0.88%","2,886","","$2.21","1"
"UEC","-0.33%","$15.33","96","B","11,055","-33.34%","-24.63%","7,369","","$-0.05","0"
"USAU","11.45%","$21.70","96","A","399","65.02%","-8.63%","658","","$2.23","2"
"VOXR","4.89%","$6.43","96","A","719","1.61%","-0.16%","731","","$0.30","1"
"WHWK","8.00%","$3.51","96","A","124","111.74%","-6.90%","263","","$0.26","1"
"WPM","1.63%","$163.65","96","A","2,280","-22.25%","-0.45%","1,772","","$2.63","0"
"XOMX","5.47%","$45.86","96","A","36","52.69%","-4.70%","54","","$2.38","1"
"AEO","-1.36%","$24.57","95","A","5,646","-28.91%","-13.67%","4,014","","$-0.34","0"
"AIP","-1.34%","$16.99","95","A","469","10.31%","-14.41%","518","","$-0.23","0"
"ALNT","-1.92%","$65.84","95","A","151","-23.52%","-5.94%","116","","$-1.29","0"
"ATNI","1.73%","$28.82","95","A","52","0.52%","-3.29%","52","","$0.49","1"
"CAT","-1.34%","$742.83","95","A","2,803","23.62%","-5.95%","3,465","","$-10.10","0"
"CGEM","1.91%","$15.50","95","A","823","101.01%","-7.41%","1,655","","$0.29","1"
"CMCL","-2.61%","$31.74","95","A","447","-56.08%","-18.09%","196","","$-0.85","0"
"CODA","-4.84%","$13.56","95","A","171","-2.37%","-8.93%","167","","$-0.69","-1"
"CPAC","-0.38%","$10.61","95","B","96","-93.48%","-7.74%","6","","$-0.04","0"
"DHT","1.67%","$19.49","95","A","2,919","136.11%","-1.57%","6,892","","$0.32","1"
"DY","-0.12%","$420.02","95","A","450","-19.51%","-5.73%","362","","$-0.49","0"
"ELA","0.07%","$13.46","95","A","90","-67.03%","-10.92%","30","","$0.01","0"
"ENTG","0.19%","$132.45","95","A","3,108","-7.41%","-7.05%","2,877","","$0.25","1"
"ESTA","2.01%","$78.70","95","A","513","-6.32%","-5.53%","481","","$1.55","0"
"EZPW","0.49%","$26.53","95","A","975","-11.13%","-0.23%","867","","$0.13","0"
"FCX","-0.44%","$68.08","95","A","20,015","-2.95%","-2.39%","19,424","","$-0.30","0"
"FIVE","-0.71%","$223.53","95","A","1,035","-1.66%","-2.53%","1,018","","$-1.59","-1"
"FOLD","0.28%","$14.37","95","A","12,024","-74.75%","-0.07%","3,036","","$0.04","0"
"IESC","-3.82%","$495.35","95","A","192","74.22%","-7.88%","335","","$-19.70","0"
"INTC","0.33%","$45.61","95","B","105,664","-24.94%","-16.47%","79,316","","$0.15","0"
"KLAC","0.02%","$1,524.55","95","A","1,090","1.54%","-9.97%","1,107","","$0.24","0"
"KMT","0.42%","$40.28","95","A","1,308","65.52%","-3.50%","2,165","","$0.17","0"
"LGN","1.27%","$58.05","95","A","1,268","7.21%","-0.09%","1,360","","$0.73","1"
"LIND","-2.57%","$19.71","95","A","724","89.71%","-7.16%","1,373","","$-0.52","0"
"MOG.A","-0.82%","$337.43","95","A","218","-22.86%","-3.75%","168","","$-2.79","0"
"MTZ","2.78%","$298.02","95","A","892","130.57%","-0.66%","2,057","","$8.06","0"
"NEOG","-0.80%","$11.23","95","A","3,541","-20.23%","-1.75%","2,825","","$-0.09","0"
"NVMI","-0.66%","$438.86","95","B","389","16.59%","-13.49%","453","","$-2.91","0"
"ORN","-0.36%","$13.73","95","A","311","-0.18%","-8.47%","310","","$-0.05","0"
"PAHC","-0.20%","$54.59","95","A","265","-19.31%","-3.04%","214","","$-0.11","-1"
"PKST","0.00%","$20.86","95","A","629","-44.19%","-0.52%","351","","$0.00","0"
"PPIH","-0.11%","$32.37","95","A","101","15.03%","-11.27%","116","","$-0.04","0"
"PUMP","1.93%","$12.13","95","A","2,807","20.72%","-8.45%","3,389","","$0.23","0"
"RAIL","-6.55%","$13.83","95","A","165","19.81%","-7.18%","198","","$-0.97","-1"
"RGLD","1.84%","$299.79","95","A","1,008","-4.42%","-2.11%","964","","$5.41","0"
"RILYZ","-6.25%","$15.60","95","A","63","181.66%","-12.31%","177","","$-1.04","-1"
"SOLS","0.24%","$78.51","95","A","3,522","-8.64%","-7.02%","3,218","","$0.19","1"
"SQM","-2.14%","$76.30","95","A","1,458","-13.13%","-11.41%","1,266","","$-1.67","0"
"STNG","2.69%","$79.08","95","A","1,010","26.41%","-0.55%","1,277","","$2.07","1"
"TATT","-0.56%","$55.37","95","A","141","-48.50%","-2.00%","73","","$-0.31","0"
"TEVA","0.27%","$33.86","95","B","9,166","-1.43%","-9.34%","9,034","","$0.09","0"
"TFPM","2.35%","$41.36","95","A","653","-31.67%","-0.07%","446","","$0.95","0"
"THR","-3.61%","$50.78","95","A","458","97.63%","-13.29%","904","","$-1.90","0"
"TXG","4.16%","$23.05","95","A","2,571","46.10%","-2.16%","3,757","","$0.92","0"
"UI","0.81%","$766.99","95","A","105","-28.95%","-4.56%","75","","$6.15","1"
"VISN","-1.40%","$17.57","95","B","3,643","163.10%","-14.50%","9,586","","$-0.25","0"
"WFRD","0.51%","$105.46","95","A","1,142","-31.78%","-2.48%","779","","$0.54","0"
"YOU","3.23%","$48.64","95","A","1,602","134.50%","-3.61%","3,757","","$1.52","1"
"AIR","-0.85%","$117.17","94","A","498","-30.23%","-1.74%","347","","$-1.00","0"
"APEI","0.42%","$45.82","94","A","237","-4.71%","-1.42%","226","","$0.19","1"
"APGE","1.32%","$70.00","94","A","984","-2.88%","-17.22%","955","","$0.91","0"
"BTSG","3.24%","$41.43","94","A","1,736","256.67%","-7.67%","6,192","","$1.30","1"
"CLMT","-10.79%","$26.96","94","A","1,244","115.40%","-11.17%","2,680","","$-3.26","-2"
"CLS","-0.55%","$277.63","94","B","2,788","-20.51%","-23.60%","2,216","","$-1.53","0"
"CMBT","3.57%","$14.81","94","A","2,142","34.14%","-0.80%","2,874","","$0.51","1"
"CRS","0.14%","$398.07","94","A","862","-34.53%","-1.42%","564","","$0.54","1"
"DCO","0.97%","$123.59","94","A","146","11.19%","-3.57%","162","","$1.19","1"
"DG","1.45%","$156.24","94","A","3,075","11.99%","-1.26%","3,444","","$2.24","0"
"ECPG","6.80%","$68.29","94","A","195","278.20%","-0.67%","737","","$4.35","4"
"ELAN","0.80%","$26.40","94","A","4,983","-1.01%","-4.76%","4,933","","$0.21","0"
"ENTA","-0.76%","$14.30","94","A","279","-58.71%","-16.62%","115","","$-0.11","0"
"ESOA","0.84%","$15.62","94","A","262","-23.42%","-1.39%","201","","$0.13","0"
"EXAS","0.13%","$103.38","94","A","2,400","11.63%","-0.28%","2,679","","$0.13","0"
"FNV","-0.07%","$280.61","94","A","822","-37.73%","-1.37%","512","","$-0.21","0"
"GTX","-0.49%","$20.36","94","A","2,511","33.91%","-4.95%","3,362","","$-0.10","0"
"HLIO","-2.02%","$71.32","94","A","315","-10.43%","-6.36%","282","","$-1.47","0"
"HMY","0.89%","$22.75","94","A","4,753","-19.60%","-12.70%","3,822","","$0.20","1"
"HP","1.82%","$35.22","94","A","1,726","-3.75%","-4.11%","1,661","","$0.63","1"
